id;longitude;latitude;region;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
C86T2;606118.947;2374873.883;2;2.933705673;-2.377265452;2;0.002170909;0.779614325;2;1.765915428
C86T3;607329.97;2373091.915;2;2.775952567;-2.236885992;2;0.002415833;0.523898249;1.595312966;1.154700538
C81T10;600633.952;2374942.816;2;2.575470633;-2.169768668;5;0.011757273;0.304517061;1.612372436;0.889756521
C10T4;652223.565;2398021.337;2;2.655112543;-2.159291827;2;0.006905778;0.407407407;2;1.276569477
C5T10;654933.312;2444625.951;2;2.679213211;-2.126663114;3;0.007660291;0.60244213;0.723041018;0.5612038
C81T7;595195.991;2372771.776;2;2.871733381;-2.119554881;5;0.008437739;0.552111075;1.409354306;1.047209121
C5T8;653915.31;2446071.941;2;2.657975432;-2.103570722;3;0.008449971;0.986436853;0.913799392;0.907581238
C10T7;657384.601;2393814.438;2;2.612319511;-2.100803715;2;0.00582675;0.666666667;1;0.816496581
C81T1;600222.927;2377181.802;2;2.413957162;-2.06162552;2;0.005837333;0.430443565;1.829039718;1.2
C87T2;606328.856;2386022.848;2;2.487446715;-1.994273604;2;0.00630432;0.366904378;1.661880215;1.006644591
C81T6;593207.977;2374599.758;2;2.061848571;-1.782438384;2;0.002312776;0.797838016;0.91030079;0.813096858
C10T10;661947.622;2392740.526;2;2.505807289;-1.758579268;3;0.010076846;0.839697381;1.320871175;1.210380344
C10T5;652722.59;2396015.355;2;2.542923933;-1.738883037;3;0.01684736;0.703703704;1.2;1.006644591
C85T7;593572.883;2385454.741;2;2.250146745;-1.724017068;3;0.001654498;0.756886576;1.097718127;0.955006302
C82T9;608218.037;2367144.971;2;2.070178001;-1.723197291;2;0.004622876;0.602764167;1.768076391;1.37269717
C84T2;619118.9;2388105.041;2;1.87512227;-1.685340858;5;0.019705172;0.389694246;1.355622405;0.846254
C4T7;658989.376;2417440.226;2;2.08776048;-1.682352439;2;0.007230981;0.870955691;1.442973923;1.346655513
C85T6;595469.891;2383557.753;2;2.058086147;-1.68191012;4;0.014322076;0.366556139;0.986161942;0.597060702
C5T7;653177.307;2448099.93;2;2.010089352;-1.658972321;2;0.006451765;0.943247906;0.695865202;0.6758309
C81T8;597411.996;2371743.795;2;2.655508373;-1.657602801;2;0.00745824;0.36;2;1.2
C2T9;638198.275;2451003.842;2;1.989276483;-1.621729346;3;0.005762125;0.381049961;1.145497224;0.707106781
C82T4;610378.102;2361335.057;2;1.807322296;-1.555169069;2;0.001139727;0.83920933;1.533091398;1.404440027
C83T2;600428.861;2385911.786;2;1.985941437;-1.553480013;3;0.006155786;0.428247394;1.283940488;0.840218537
C81T9;599034.979;2372908.808;2;2.247076626;-1.550753186;3;0.005278916;0.857783186;1.339652691;1.240740576
C87T10;609374.88;2384293.9;2;2.350821803;-1.549439781;2;0.00537116;0.990206306;1.429935903;1.422916497
C81T3;597023.921;2378804.769;2;2.236956728;-1.539721999;4;0.008128004;0.483482291;0.642479012;0.44673423
C5T5;656343.304;2451480.952;2;1.866247405;-1.516784922;2;0.005360816;0.253333333;1.428571429;0.719031851
C80T4;607083.904;2379616.875;2;0.542687947;-1.478809847;2;0.016288571;0.966288339;0.896733235;0.881488468
C82T6;612129.059;2365432.054;2;1.689378269;-1.395499064;4;0.017171115;0.143907866;0.998646316;0.37883838
C4T5;659800.392;2415486.263;2;1.604742845;-1.370656978;2;0.006905778;0.789764467;1.436467026;1.276569477
C87T4;607290.827;2391000.854;2;1.634880503;-1.351968654;3;0.006969388;0.257634916;1.476928296;0.749655568
C85T3;595857.85;2389224.748;2;1.414805147;-1.315093734;4;0.013261049;0.307874019;1.129764612;0.626865672
C4T9;661583.374;2418042.254;2;1.306247274;-1.30253046;4;0.013557742;0.864658705;1.566281041;1.456438163
C84T6;613750.878;2387192.961;2;1.592017913;-1.25907395;5;0.008053013;0.132029354;0.689680775;0.250601328
C5T1;659009.304;2448313.008;2;0.848299689;-1.240697781;2;0.005293786;0.578430656;0.89427304;0.680136041
C80T3;606084.887;2381393.854;2;1.419885002;-1.23572571;3;0.012750543;0.40761616;1.586003703;1.012581279
C6T9;651735.299;2453808.901;2;1.100969046;-1.151773101;2;0.013795012;0.571901614;1.00369144;0.75903339
C86T6;604976.011;2369138.9;2;0.313580878;-1.147377964;3;0.005544465;0.552786628;0.935562166;0.695586933
C57T3;331993.524;2496391.874;1;-0.071708178;-1.115322508;4;0.01779694;0.022449003;1.089897949;0.163299316
C2T8;641002.266;2450571.872;2;1.173996377;-1.103636818;2;0.006905778;0.215390309;1.436467026;0.666666667
C84T3;619212.919;2385427.053;2;2.591399771;-1.100115549;4;0.012421663;0.377492999;1.070502206;0.657721467
C3T2;634914.483;2414653.971;2;2.108283862;-1.092604214;2;0.007769;0.333333333;2;1.154700538
C62T9;348656.67;2472688.803;1;-1.565991812;-1.075616303;2;0.001437521;0.766322141;1.143909568;1.001376463
C6T7;654137.302;2452853.924;2;0.621423135;-1.051263661;2;0.01915536;0.111111111;1.2;0.4
C65T1;356427.622;2482465.853;1;-0.529254603;-1.032787465;2;0.00278304;0.977926988;1.53137085;1.514375559
C85T4;594441.873;2386551.744;2;0.827607994;-1.003438525;4;0.014395418;0.619151727;1.494958581;1.176326022
C6T6;653130.305;2450180.924;2;1.887856812;-0.997942148;3;0.01190525;0.611111111;2;1.56347192
C5T3;659110.297;2452371.007;2;1.529212681;-0.994555697;2;0.00537116;0.36;1.111111111;0.666666667
C84T1;621299.898;2389138.058;2;1.267566806;-0.9930658;4;0.003503513;0.155587416;0.547834003;0.216090771
C87T8;611451.883;2385005.931;2;1.71020131;-0.97674717;4;0.008387211;0.126372429;1.093943159;0.38888476
C58T2;322643.598;2469340.647;1;-1.85160395;-0.972086277;3;0.004490874;0.922327935;1.694230786;1.627103766
C65T3;360216.621;2482709.865;1;-0.679167062;-0.95922515;2;0.00156546;0.671053646;1.337248141;1.095445115
C65T8;355205.61;2484342.854;1;-1.887757234;-0.951077753;4;0.010686287;0.579881657;1.181818182;0.899954085
C62T8;347735.679;2470780.795;1;-0.65488374;-0.933795823;3;0.009732363;0.751738361;1.26041994;1.092819967
C65T9;353160.609;2484134.845;1;-1.521152304;-0.916411088;4;0.00521336;0.465710967;0.777368846;0.530499971
C86T5;606256.009;2369503.92;2;1.565145999;-0.915885099;4;0.01010445;0.33418847;0.494923356;0.286110424
C65T6;358952.604;2485950.871;1;-0.904676463;-0.915422257;2;0.006877397;0.661067672;1.018919895;0.828443705
C59T8;323520.532;2487394.788;1;-1.280614823;-0.914539975;2;0.00137568;0.866843769;0.831097054;0.7737883
C80T1;609613.91;2380093.915;2;1.7128829;-0.912476491;4;0.01153376;0.463705974;1.194952894;0.813714642
C65T7;357248.601;2486488.868;1;-1.081032678;-0.897002654;4;0.005402693;0.622356352;1.423306844;1.122840583
C81T4;594738.929;2378713.756;2;1.010875153;-0.891808242;4;0.009458711;0.152841654;0.946811609;0.370155698
C82T7;612259.029;2368393.033;2;0.980432473;-0.887995534;2;0.00441406;0.328702683;0.803557586;0.460700443
C65T4;362605.615;2483958.875;1;-1.235718889;-0.871061449;2;0.01676094;0.366169228;1.748912529;1.058300524
C58T3;323966.609;2467827.639;1;-1.641593041;-0.86913267;3;0.003858569;0.812756257;1.178929613;1.062840359
C80T9;612858.942;2377564.978;2;0.245096203;-0.867357281;3;0.010154672;0.28939296;0.976823406;0.525484655
C83T8;598188.904;2380746.775;2;0.695404706;-0.800783507;3;0.001939346;0.599716596;1.229563014;0.952190457
C57T4;333852.516;2498315.89;1;-0.956146313;-0.764640735;3;0.021552978;0.339580264;0.866245748;0.504791853
C1T5;670035.349;2432390.277;2;0.328781336;-0.760486594;3;0.007983872;0.325152425;1.331778363;0.759408499
C83T4;596452.862;2387190.753;2;1.161758695;-0.760151476;3;0.020280683;0.030586754;1.031328171;0.180369697
C2T5;639549.277;2448754.867;2;2.278742116;-0.732472659;2;0.003805224;1;2;2
C86T9;604175.939;2375285.851;2;0.506976191;-0.706488529;3;0.005467158;0.838052531;0.92703782;0.84865871
C82T3;607827.114;2360403.017;2;1.890141845;-0.698881614;3;0.012264878;0.697521966;0.833227018;0.695892712
C3T10;635036.412;2423269.927;2;0.480223514;-0.687796531;2;0.00497216;0.913551182;1.053197265;1.006644591
C82T5;612110.089;2362489.08;2;0.978420207;-0.684705755;3;0.008712308;0.223009578;0.808240421;0.381682567
