id;longitude;latitude;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
10_525;701100;2378200;2.618786279;-2.179413065;38;106.1821255;0.078940675;0.538508115;0.151301303
86_562;431100;2190200;2.246363803;-2.176204551;29;97.43316785;0.211818498;0.867321458;0.399173805
59_117;589100;2658200;2.956017062;-2.159256039;36;119.1153645;0.171585559;0.545855491;0.226109105
51_1458;765100;2424200;2.619684196;-2.149387631;42;95.31453478;0.033562652;0.409511881;0.075023037
13_363;779100;1852200;2.138297506;-2.036120108;32;119.7335662;0.127745072;0.72942672;0.260707632
10_691;741100;2372200;2.465708666;-2.035410789;50;105.0061426;0.023915224;0.518826452;0.080234165
14_243;405100;2478200;1.821366458;-1.940978316;42;107.3591977;0.054882321;0.508513575;0.119129354
85_1433;349100;2168200;2.072592754;-1.871741766;31;102.1183473;0.212710328;0.66496937;0.306687397
81_1276;565100;1836200;1.562871339;-1.774258404;49;116.101115;0.060453879;0.523388445;0.128687457
85_1390;345100;2170200;1.567310559;-1.746318978;38;103.267148;0.303893397;0.747749227;0.412208179
81_1366;577100;1830200;0.940014711;-1.714741069;46;129.3493403;0.148697733;0.633611038;0.244328939
60_175;613100;2514200;2.341043777;-1.685632717;46;115.7297984;0.166460274;0.758991702;0.309665149
69_498;811100;2090200;1.730591185;-1.674656311;46;101.5610931;0.117424164;0.700923059;0.240186772
91_260;585100;2388200;1.930790002;-1.609953775;47;120.9700311;0.082369687;0.665261785;0.190930928
80_1025;611100;2542200;2.46006914;-1.609842603;42;130.5574531;0.059782162;0.46983561;0.114876643
63_241;665100;2112200;1.213774031;-1.575051313;38;107.4443515;0.166922559;0.702679629;0.287087895
62_183;583100;2646200;2.258647064;-1.555181511;38;113.9710841;0.133264264;0.529609273;0.193335868
62_141;585100;2650200;2.139200046;-1.546644284;43;109.7890314;0.041623825;0.408098735;0.083259969
63_551;675100;2098200;0.654249429;-1.540455822;46;113.8417544;0.069575508;0.558179713;0.14723201
86_1013;427100;2166200;1.583427765;-1.532145397;49;107.1359899;0.133665642;0.641618093;0.234577578
21_914;795100;2278200;0.152716858;-1.524312815;35;106.6378379;0.056429137;0.354587488;0.084231611
