id;latitude;region;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
141;490280;2334132;2.301513699;-2.060184093;13;0.256258091;0.106819946;1.144485107;0.374055738
1096;547611;2387342;2.628935619;-1.908976567;11;0.162639095;0.325151032;0.722751811;0.412127654
1859;575053;1796980;1.999344306;-1.643928392;12;0.260698508;0.117941231;0.78628606;0.270030862
2294;611734;2647583;1.330787425;-1.199240695;7;0.169598542;0.266363614;0.906511603;0.467854506
587;657614;2246479;0.450890059;-1.139972103;12;0.235301516;0.150247448;0.640971826;0.248451997
299;301715;2177403;0.64350948;-1.082261299;10;0.246419729;0.404511715;0.811094673;0.515866232
1420;353086;2176248;0.41465379;-1.040281051;11;0.251269184;0.100348309;0.654332604;0.207278181
1635;615199;2255612;0.955149629;-1.025486249;9;0.228732362;0.182755859;0.915803516;0.391505584
1573;453404;2454269;-1.579282887;-1.020139622;13;0.20554118;0.205561747;0.927811906;0.420659877
3653;698990;2493083;1.117684831;-1.000928009;10;0.196858757;0.187314699;0.650950621;0.281730571
3030;186181;2421489;0.964845294;-0.983864938;10;0.171804357;0.366114657;1.032159127;0.624532747
1714;822346;1923846;0.331798905;-0.911159718;11;0.247990819;0.143370848;0.755788214;0.286174242
85;526136;1833432;0.483951279;-0.861441468;7;0.178696956;0.522407062;0.996271293;0.7200823
631;349946;2391208;-0.985258122;-0.803510616;9;0.221327665;0.220354543;0.608751585;0.285759784
3175;711482;2459280;0.76746971;-0.759137647;10;0.211480706;0.179586541;0.690945619;0.292806531
1171;996239;1894698;-0.913769457;-0.715228204;12;0.220523764;0.340952491;0.630768227;0.368312741
3845;291564;2321565;1.687733915;-0.698548413;8;0.239052736;0.181926648;1.100408118;0.469355536
1843;193937;2417965;0.352595698;-0.682059711;10;0.233728755;0.294017572;0.666953733;0.361644905
3792;586784;2325784;1.12849596;-0.648492835;11;0.23917005;0.466732921;1.26751566;0.865939501
1613;294470;2376472;0.655971702;-0.647041286;8;0.153242686;0.257554631;0.818558086;0.415416923
3582;517164;2491423;0.03838566;-0.630620584;6;0.135953091;0.355162426;1.321773077;0.787717345
1231;550367;2499348;-0.47341615;-0.607690598;8;0.201281991;0.421705689;0.879783375;0.571321386
1628;294426;2376499;0.570755389;-0.601253377;6;0.161208631;0.3994677;1.075302064;0.67962808
1146;704312;2129109;-2.142424957;-0.579821423;9;0.250492941;0.446913965;0.910721399;0.608832047
334;513925;1945288;-1.453756303;-0.571983785;12;0.281243905;0.126516905;0.603685459;0.214726179
22;750021;2004626;-2.864172416;-0.532910791;10;0.270917;0.142174951;1.073012686;0.40459117
1618;294211;2376278;0.51760009;-0.522166629;4;0.106264127;0.232049065;1.226427161;0.590788008
2154;738194;1896481;-0.523921192;-0.52061921;10;0.264246281;0.261807976;0.860902582;0.440499527
2724;180037;2423408;-0.550045711;-0.490645824;9;0.193961792;0.53580721;0.691563347;0.506216438
374;124448;2343780;-0.14598097;-0.427442416;10;0.222554943;0.370648306;0.615124958;0.374493564
3590;553273;2010086;-2.186921218;-0.422769261;9;0.280495846;0.102225588;1.69960522;0.5434103
550;222166;2409391;1.09017605;-0.382087689;8;0.200451787;0.081441648;1.011547076;0.288675135
3628;749472;2003320;-2.969176891;-0.310467666;11;0.237456489;0.20615503;0.804084583;0.365088962
2721;523530;2258611;0.924656719;-0.304775643;12;0.261858438;0.230579571;1.459224496;0.700700658
597;273905;2349362;-0.660713326;-0.266169164;10;0.206049201;0.372275375;0.799296457;0.487685724
2573;146064;2385894;-0.962638205;-0.264850434;11;0.187892244;0.380197954;0.602714485;0.371634921
298;756896;2204414;-2.411274256;-0.243411737;12;0.231869224;0.205539211;0.872634704;0.395621444
1312;436785;2473178;-2.361172087;-0.186747268;9;0.207078698;0.352803523;1.138898351;0.676474485
430;520204;1944112;-1.30568551;-0.169582424;11;0.279753226;0.158860107;0.776233742;0.30938549
2495;875860;2318031;-2.757156664;-0.151108441;11;0.230274918;0.247966355;1.044968821;0.520354976
3010;631548;2626043;2.549393277;-0.129997542;12;0.235981228;0.216396396;1.267911562;0.589812502
2694;697123;2022908;-2.878708259;-0.102526923;12;0.24983632;0.294719848;0.803801337;0.436368524
2850;865266;2029851;-2.775722138;-0.086753894;10;0.272310438;0.227581541;0.968504583;0.462030022
4134;402762;2279688;-1.213428584;-0.053086815;10;0.279377445;0.177251052;1.223430281;0.515078754
1229;657448;2602734;2.0834833;-0.035781579;8;0.107805099;0.406265017;1.357775112;0.865431218
1245;608306;2538633;2.456238724;-0.030815565;8;0.18123977;0.339920243;0.997813467;0.581751987
185;545011;2435633;2.171528314;-0.017205014;11;0.192372136;0.306126183;1.576574092;0.872297492
712;772331;1895751;-1.490036596;-0.010086543;9;0.294628557;0.218458214;1.002854696;0.468729408
154;818043;2500717;-0.916151389;0.034105645;11;0.21243267;0.300911917;0.725046458;0.397727416
193;556396;2537927;0.039109072;0.036369483;7;0.169022563;0.520872198;0.915480867;0.660716056
2615;888984;2047539;-3.392471599;0.050420903;11;0.251002883;0.404684012;0.850612881;0.541115505
3496;501375;2527735;0.768446381;0.055354551;9;0.169015274;0.427324904;1.475692556;0.964661595
1521;631157;2504806;2.038574486;0.068178373;10;0.197919545;0.43348221;1.359752903;0.895252689
575;886848;2046803;-3.060175004;0.08756665;11;0.273760624;0.218247251;1.068559621;0.499198361
301;492005;2295213;1.884323717;0.147027742;10;0.236162938;0.127032375;0.708943565;0.252678839
1068;531673;1978581;-2.399993212;0.150748659;11;0.283255903;0.178201718;0.706195125;0.298112824
2151;682746;2609328;1.345984315;0.278765273;12;0.185279995;0.163266106;1.243149494;0.502309481
1363;492914;2469232;1.674424509;0.293858797;8;0.201296135;0.240988471;1.056640715;0.518711019
1147;609358;1831009;-1.484604634;0.350817382;12;0.24756194;0.546262948;0.840685106;0.621347028
1882;440344;2080460;-0.047955885;0.375567703;14;0.297208634;0.201783087;0.704393954;0.316415683
2897;437554;2078487;-0.456311;0.413802965;11;0.272666197;0.307603204;0.820176209;0.454886026
2212;554315;2259199;-1.885139542;0.42745941;13;0.29052487;0.277931801;1.172326343;0.61804151
462;891847;2061296;-1.621396149;0.452673252;13;0.248395348;0.044146787;0.899392532;0.188972595
3245;415221;1847042;0.996843817;0.535885277;11;0.278489309;0.335867181;0.992447184;0.575163328
242;877562;2108415;0.038413874;0.569237994;11;0.260101762;0.551890584;0.890029769;0.661197229
2232;306633;2351810;0.026692376;0.651654285;7;0.199827564;0.324185953;1.604092171;0.913327251
1834;446175;2508846;-0.122461901;0.935264126;8;0.157656973;0.554127258;1.122397884;0.835509892
1838;333507;1965772;-0.41011311;0.947684123;12;0.279698178;0.249852488;1.299257816;0.649437224
1899;347308;1956826;0.028461802;0.995912269;9;0.284452493;0.216038961;1.217051481;0.565685425
3513;771888;2088342;-0.73901845;1.06134157;13;0.2280591;0.225533634;0.669992129;0.318181818
2200;882321;2065159;-0.755982561;1.113747035;13;0.2848042;0.207976957;0.869471497;0.396518048
1102;804914;2420712;0.078165488;1.135530251;10;0.236569201;0.243471606;1.107032049;0.546241075
789;535695;1842896;1.52898894;1.193585066;9;0.250215417;0.090517561;0.681174251;0.204939015
975;124734;2346934;0.204215833;1.237148107;10;0.226743949;0.459584391;0.802978992;0.544360768
366;951199;2414726;-1.959620464;1.26731472;10;0.257578629;0.176992191;1.150743659;0.484122918
1065;580466;2421598;0.696947032;1.322862567;9;0.226112608;0.332145244;1.036568586;0.597395659
2899;312108;2114934;-0.164074896;1.351190317;9;0.236796553;0.277287593;0.594549896;0.313078704
1117;301938;2164949;0.008483612;1.364635547;10;0.284137543;0.068961447;0.87941968;0.230940108
866;992134;2398674;1.757171473;1.387767808;8;0.225463024;0.093238848;0.894880269;0.27325202
